"x","y",""
-87.41,18.37,NA
-88.97,18.34,NA
-88.94,18.34,NA
-88.91,18.34,NA
-88.88,18.34,NA
-88.85,18.34,NA
-88.82,18.34,NA
-88.79,18.34,NA
-88.76,18.34,NA
-88.73,18.34,NA
-88.7,18.34,NA
-88.67,18.34,NA
-88.64,18.34,NA
-88.61,18.34,NA
-88.58,18.34,NA
-88.55,18.34,NA
-88.52,18.34,NA
-88.49,18.34,NA
-88.46,18.34,NA
-88.43,18.34,19.26
-88.4,18.34,482.13
-88.37,18.34,246.06
-88.34,18.34,13.14
-88.31,18.34,18.18
-88.28,18.34,16.38
-88.25,18.34,66.24
-88.22,18.34,43.2
-88.19,18.34,157.23
-88.16,18.34,33.93
-88.13,18.34,130.86
-88.1,18.34,103.5
-88.07,18.34,NA
-88.04,18.34,NA
-88.01,18.34,NA
-87.98,18.34,NA
-87.95,18.34,NA
-87.92,18.34,NA
-87.89,18.34,NA
-87.86,18.34,NA
-87.83,18.34,NA
-87.8,18.34,NA
-87.77,18.34,NA
-87.74,18.34,NA
-87.71,18.34,NA
-87.68,18.34,NA
-87.65,18.34,NA
-87.62,18.34,NA
-87.59,18.34,NA
-87.56,18.34,NA
-87.53,18.34,NA
-87.5,18.34,NA
-87.47,18.34,NA
-87.44,18.34,NA
-87.41,18.34,NA
-88.97,18.31,NA
-88.94,18.31,NA
-88.91,18.31,NA
-88.88,18.31,NA
-88.85,18.31,NA
-88.82,18.31,NA
-88.79,18.31,NA
-88.76,18.31,NA
-88.73,18.31,NA
-88.7,18.31,NA
-88.67,18.31,NA
-88.64,18.31,NA
-88.61,18.31,NA
-88.58,18.31,NA
-88.55,18.31,NA
-88.52,18.31,NA
-88.49,18.31,NA
-88.46,18.31,NA
-88.43,18.31,201.6
-88.4,18.31,43.2
-88.37,18.31,38.34
-88.34,18.31,3.42
-88.31,18.31,1.98
-88.28,18.31,102.51
-88.25,18.31,2.61
-88.22,18.31,182.88
-88.19,18.31,342.63
-88.16,18.31,172.17
-88.13,18.31,429.66
-88.1,18.31,158.31
-88.07,18.31,NA
-88.04,18.31,NA
-88.01,18.31,NA
-87.98,18.31,NA
-87.95,18.31,NA
-87.92,18.31,NA
-87.89,18.31,NA
-87.86,18.31,NA
-87.83,18.31,NA
-87.8,18.31,NA
-87.77,18.31,NA
-87.74,18.31,NA
-87.71,18.31,NA
-87.68,18.31,NA
-87.65,18.31,NA
-87.62,18.31,NA
-87.59,18.31,NA
-87.56,18.31,NA
-87.53,18.31,NA
-87.5,18.31,NA
-87.47,18.31,NA
-87.44,18.31,NA
-87.41,18.31,NA
-88.97,18.28,NA
-88.94,18.28,NA
-88.91,18.28,NA
-88.88,18.28,NA
-88.85,18.28,NA
-88.82,18.28,NA
-88.79,18.28,NA
-88.76,18.28,NA
-88.73,18.28,NA
-88.7,18.28,NA
-88.67,18.28,NA
-88.64,18.28,NA
-88.61,18.28,NA
-88.58,18.28,NA
-88.55,18.28,NA
-88.52,18.28,NA
-88.49,18.28,NA
-88.46,18.28,NA
-88.43,18.28,36.36
-88.4,18.28,22.14
-88.37,18.28,12.96
-88.34,18.28,NA
-88.31,18.28,3.78
-88.28,18.28,25.38
-88.25,18.28,17.46
-88.22,18.28,414.18
-88.19,18.28,198.72
-88.16,18.28,398.07
-88.13,18.28,387.45
-88.1,18.28,155.34
-88.07,18.28,NA
-88.04,18.28,NA
-88.01,18.28,NA
-87.98,18.28,NA
-87.95,18.28,NA
-87.92,18.28,NA
-87.89,18.28,NA
-87.86,18.28,NA
-87.83,18.28,NA
-87.8,18.28,NA
-87.77,18.28,NA
-87.74,18.28,NA
-87.71,18.28,NA
-87.68,18.28,NA
-87.65,18.28,NA
-87.62,18.28,NA
-87.59,18.28,NA
-87.56,18.28,NA
-87.53,18.28,NA
-87.5,18.28,NA
-87.47,18.28,NA
-87.44,18.28,NA
-87.41,18.28,NA
-88.97,18.25,NA
-88.94,18.25,NA
-88.91,18.25,NA
-88.88,18.25,NA
-88.85,18.25,NA
-88.82,18.25,NA
-88.79,18.25,NA
-88.76,18.25,NA
-88.73,18.25,NA
-88.7,18.25,NA
-88.67,18.25,NA
-88.64,18.25,NA
-88.61,18.25,NA
-88.58,18.25,NA
-88.55,18.25,NA
-88.52,18.25,NA
-88.49,18.25,NA
-88.46,18.25,NA
-88.43,18.25,5.13
-88.4,18.25,13.86
-88.37,18.25,10.98
-88.34,18.25,NA
-88.31,18.25,8.1
-88.28,18.25,144
-88.25,18.25,4.23
-88.22,18.25,464.49
-88.19,18.25,206.55
-88.16,18.25,281.25
-88.13,18.25,476.64
-88.1,18.25,181.26
-88.07,18.25,NA
-88.04,18.25,NA
-88.01,18.25,NA
-87.98,18.25,NA
-87.95,18.25,NA
-87.92,18.25,NA
-87.89,18.25,NA
-87.86,18.25,NA
-87.83,18.25,NA
-87.8,18.25,NA
-87.77,18.25,NA
-87.74,18.25,NA
-87.71,18.25,NA
-87.68,18.25,NA
-87.65,18.25,NA
-87.62,18.25,NA
-87.59,18.25,NA
-87.56,18.25,NA
-87.53,18.25,NA
-87.5,18.25,NA
-87.47,18.25,NA
-87.44,18.25,NA
-87.41,18.25,NA
-88.97,18.22,NA
-88.94,18.22,NA
-88.91,18.22,NA
-88.88,18.22,NA
-88.85,18.22,NA
-88.82,18.22,NA
-88.79,18.22,NA
-88.76,18.22,NA
-88.73,18.22,NA
-88.7,18.22,NA
-88.67,18.22,NA
-88.64,18.22,NA
-88.61,18.22,NA
-88.58,18.22,NA
-88.55,18.22,NA
-88.52,18.22,NA
-88.49,18.22,NA
-88.46,18.22,NA
-88.43,18.22,0.54
-88.4,18.22,8.01
-88.37,18.22,6.93
-88.34,18.22,19.89
-88.31,18.22,68.76
-88.28,18.22,65.88
-88.25,18.22,4.41
-88.22,18.22,265.95
-88.19,18.22,21.87
-88.16,18.22,100.71
-88.13,18.22,396.99
-88.1,18.22,202.32
-88.07,18.22,NA
-88.04,18.22,NA
-88.01,18.22,NA
-87.98,18.22,NA
-87.95,18.22,NA
-87.92,18.22,NA
-87.89,18.22,NA
-87.86,18.22,NA
-87.83,18.22,NA
-87.8,18.22,NA
-87.77,18.22,NA
-87.74,18.22,NA
-87.71,18.22,NA
-87.68,18.22,NA
-87.65,18.22,NA
-87.62,18.22,NA
-87.59,18.22,NA
-87.56,18.22,NA
-87.53,18.22,NA
-87.5,18.22,NA
-87.47,18.22,NA
-87.44,18.22,NA
-87.41,18.22,NA
-88.97,18.19,NA
-88.94,18.19,NA
-88.91,18.19,NA
-88.88,18.19,NA
-88.85,18.19,NA
-88.82,18.19,NA
-88.79,18.19,NA
-88.76,18.19,NA
-88.73,18.19,NA
-88.7,18.19,NA
-88.67,18.19,NA
-88.64,18.19,NA
-88.61,18.19,NA
-88.58,18.19,NA
-88.55,18.19,NA
-88.52,18.19,NA
-88.49,18.19,NA
-88.46,18.19,NA
-88.43,18.19,17.19
-88.4,18.19,NA
