critter,common_name
prionace glauca,Blue Shark
carcharhinus longimanus,Oceanic Whitetip Shark
isurus oxyrinchus,Shortfin Mako Shark
carcharhinus falciformis,Silky Shark
thunnus albacares,Yellowfin Tuna
thunnus obesus,Bigeye Tuna
thunnus alalunga,Albacore
katsuwonus pelamis,Skipjack Tuna
kajikia audax,Striped Marlin
istiompax indica,Black Marlin
makaira mazara,Indo-Pacific Blue Marlin
xiphias gladius,Swordfish
